personLabel	aliasLabel
Cicero	M. Tullii Ciceronis
Cicero	M. Tullius Cicero
Elagabalus	Emperor of Rome Elagabalus
Elagabalus	Emperor of Rome Heliogabalus
Elagabalus	imperatore romano Elagabalus
Elagabalus	Marcus Aurelius Antoninus Heliogabalus
Elagabalus	Sextus Varius Avitus Bassianus
Elagabalus	Varius Avitus
Elagabalus	Varius Avitus Bassianus
Mustafa Kemal Atatürk	Kemal Atatürk
Caracalla	Marcus Aurelius Antoninus
Mustafa Kemal Atatürk	Gazi Mustafa Kemal
Mustafa Kemal Atatürk	Kemal Pasha
José Rizal	Dimasalang
José Rizal	Jose P. Rizal
José Rizal	José P. Rizal
José Rizal	José Protasio Mercado Rizal Alonso y Realonda
José Rizal	Jose Protasio Rizal
José Rizal	José Protasio Rizal
José Rizal	Laong Laan
Septimius Severus	Severus
Pertinax	Helvius Pertinax
Pertinax	Publius Helvius Pertinax
Macrinus	Marcus Opellius Severus Macrinus Augustus
Lamine Diack	Lamin Diack
Sigfrid Edström	Sigfried Edstrom
Benigno Aquino III	Benigno Simeon Aquino III
Benigno Aquino III	Benigno Simeon Cojuangco Aquino III
Benigno Aquino III	Noynoy Aquino
Benigno Aquino III	PNoy
Ferdinand Marcos	Apo Lakay
Ferdinand Marcos	Ferdinand E. E. Marcos
Ferdinand Marcos	Ferdinand Edralin Marcos
Manuel L. Quezon	M. L. Q.
Manuel L. Quezon	Manuel Luis Quezon
Manuel L. Quezon	Manuel Luis Quezon y Molina
Manuel L. Quezon	Manuel Quezon
Septimius Severus	Lucius Septimius Severus
Mustafa Kemal Atatürk	Mustafa Kamal Ataturk
Mustafa Kemal Atatürk	Mustafa Kamal Attaturk
Mustafa Kemal Atatürk	Mustafa Kemal Ataturk
Mustafa Kemal Atatürk	Mustafa Kemal Pascha
Mustafa Kemal Atatürk	Mustafa Kemal Pasha
Mustafa Kemal Atatürk	Mustafa Pascha Kemal
Mustafa Kemal Atatürk	Mustapha Kemal Ataturk
Mustafa Kemal Atatürk	Mustapha Kemal Pasha
Caracalla	Divus Antoninus Magnus
Caracalla	Lucius Septimius Bassianus
Caracalla	Tarautas
Cicero	Tully
Didius Julianus	Julian I
Elagabalus	Heliogabalus
Elagabalus	Tiberinus
Benigno Aquino III	Benigno S. Aquino III
Septimius Severus	Emperor of Rome Septimius Severus
Septimius Severus	Emperor of Rome Septimus Severus
Septimius Severus	Emperor Septimius Severus
Septimius Severus	L. Septimius Severus
Septimius Severus	Lucius Septimius Severus Emperor of Rome
Septimius Severus	Lucius Septimius Severus Pertinax
Septimius Severus	Lucius Septimius Severus Pius Pertinax Augustus Arabicus Adiabenicus
Septimius Severus	Lucius Septimius, Emperor of Rome Severus
Septimius Severus	Septimius, Emperor of Rome Severus
Maximinus Thrax	C. Iulius Verus Maximinus
Maximinus Thrax	C. Julius Verus Maximinus
Maximinus Thrax	Gaius Iulius Verus Maximinus
Maximinus Thrax	Gaius Julius Verus Maximinus
Maximinus Thrax	Maximinus I
Cicero	Marcus Tullius Cicero
José Rizal	Jose Rizal
Mustafa Kemal Atatürk	Mustafa Kemal Paşa
Gordian II	Priapus
Mustafa Kemal Atatürk	Atatürk
Elagabalus	Emperor of Rome Marcus Aurelius Antoninus
Elagabalus	Marcus Aurelius Antoninus Augustus
Gordian II	Priamus
Alexander Severus	Alexianus Bassianus
Alexander Severus	Marcus Aurelius Severus Alexander
Didius Julianus	Julianus I
Didius Julianus	Marcus Didius Iulianus
Didius Julianus	Marcus Didius Severus Julianus
Ferdinand Marcos	FM
Corazon Aquino	"Corazon ""Cory"" Aquino"
Corazon Aquino	Maria Corazon Sumulong Cojuangco
Corazon Aquino	Maria Corazon Sumulong Cojuangco Aquino
David Cecil, 6th Marquess of Exeter	David Burghley
David Cecil, 6th Marquess of Exeter	David Cecil, Lord Burghley
David Cecil, 6th Marquess of Exeter	David Exeter
David Cecil, 6th Marquess of Exeter	David George Brownlow Cecil, 6th Marquess of Exeter
David Cecil, 6th Marquess of Exeter	David George Brownlow Cecil, Lord Burghley
David Cecil, 6th Marquess of Exeter	Lord Exeter
Gordian II	Emperor of Rome Gordian II
Gordian II	Emperor of Rome Marcus Antonius Gordianus Sempronianus Romanus Africanus
Gordian II	Gordianus II
Gordian II	Marcus Antonius Gordianus Sempronianus
Gordian II	Marcus Antonius II Gordianus Sempronianus
Mustafa Kemal Atatürk	Mustafa Kemal
Barack Obama	Barack H. Obama
Barack Obama	Barack Hussein Obama
David Cameron	Rt Hon David Cameron
